6 67.18 91  131.9 0.0004443919463784808
6 67.18 92  131.93 0.00027398573762315876
6 67.18 93  131.94 8.873767088171493e-5
6 67.18 94  131.94 0.0006233751621392187
6 67.18 95  132.08 0.00032257006105720643
6 67.18 96  132.1 0.00046313022917771583
6 67.18 97  132.13 0.000370776900946922
6 67.18 98  132.14 0.00019422879618109662
6 67.18 99  132.17 0.00017359008044348369
6 67.18 100  133.5 0.0018054211264300042
7 67.21 7  0.0 2.5409219561995033e-5
7 67.21 8  2.42 0.013482012108074303
7 67.21 9  2.44 0.033682732245185434
7 67.21 10  2.47 0.006583522311318063
7 67.21 11  2.47 0.01711623552404359
7 67.21 12  2.56 0.009211233660249805
7 67.21 13  24.19 0.029654040108174233
7 67.21 14  24.22 0.03164490495094668
7 67.21 15  24.23 0.027838212356674337
7 67.21 16  24.23 0.03496088976379328
7 67.21 17  24.24 0.039584571090632834
7 67.21 18  26.13 0.03095601779611992
7 67.21 19  26.17 0.005282549730178384
7 67.21 20  26.2 0.01729202550855717
7 67.21 21  26.21 0.01134067376147989
7 67.21 22  26.22 0.009349690438234335
7 67.21 23  26.86 0.09178951333859545
7 67.21 24  32.82 0.06624742283993042
7 67.21 25  32.85 0.11317445279908497
7 67.21 26  32.9 0.06262406025863533
7 67.21 27  61.64 5.583091481377631e-6
7 67.21 28  61.65 4.821742879188024e-6
7 67.21 29  61.67 1.9063853416073938e-5
7 67.21 30  61.68 1.649114248800797e-5
7 67.21 31  61.69 2.7158073731306447e-5
7 67.21 32  61.7 3.177589267161022e-5
7 67.21 33  61.72 4.9675028199340466e-6
7 67.21 34  65.95 0.008523724232780645
7 67.21 35  66.06 0.0024800417629009942
7 67.21 36  66.07 0.0021721286613455753
7 67.21 37  66.12 0.003118445760034193
7 67.21 38  66.12 0.002545287425354536
7 67.21 39  67.41 0.0001088249182796424
7 67.21 40  67.48 0.0001235730063437113
7 67.21 41  67.49 9.812112457325608e-5
7 67.21 42  70.3 0.0012080597678470085
7 67.21 43  70.33 0.0015613881400977116
7 67.21 44  70.33 0.005226985202331025
7 67.21 45  70.36 0.002949841219825824
7 67.21 46  70.38 0.0008128043849269928
7 67.21 47  72.21 0.013348299857998498
7 67.21 48  76.76 0.04428652567980599
7 67.21 49  76.79 0.017728664226943865
7 67.21 50  76.81 0.005981704763158142
7 67.21 51  76.82 0.011925178294791422
7 67.21 52  76.85 0.010789410552323608
7 67.21 53  86.18 0.00022222616409804639
7 67.21 54  86.23 7.578064275778956e-5
