5 66.74 57  79.06 9.170178237441444e-27
5 66.74 58  79.06 9.942770017519484e-27
5 66.74 59  79.06 8.33862428714381e-27
5 66.74 60  81.87 5.639536116899268e-31
5 66.74 61  81.87 2.0346245352563243e-29
5 66.74 62  81.87 2.3044311593830762e-29
5 66.74 63  81.87 7.16625265605475e-29
5 66.74 64  81.87 1.0308732398084701e-29
5 66.74 65  81.87 3.147911316694084e-31
5 66.74 66  81.87 2.3910769141924456e-29
5 66.74 67  85.99 9.166558383634412e-29
5 66.74 68  85.99 2.299944107034533e-28
5 66.74 69  85.99 3.418669277220163e-28
5 66.74 70  89.53 5.811372064310255e-26
5 66.74 71  89.53 1.3768047225235062e-26
5 66.74 72  89.53 2.2732082293921416e-26
5 66.74 73  89.53 3.607194141309159e-26
5 66.74 74  89.53 5.775571522927351e-27
5 66.74 75  89.53 2.216942404511439e-26
5 66.74 76  89.53 3.539253697725165e-26
5 66.74 77  89.73 1.114928284171609e-5
5 66.74 78  89.73 1.0817444968089052e-5
5 66.74 79  89.73 1.5699486892957708e-5
5 66.74 80  90.85 0.01102518280792338
5 66.74 81  90.85 0.013193354535046586
5 66.74 82  90.85 0.0017512824252961718
5 66.74 83  90.85 0.005157024937186944
5 66.74 84  90.85 0.01093957572749343
5 66.74 85  93.19 7.88037667193233e-28
5 66.74 86  93.19 1.0435306618277052e-27
5 66.74 87  93.19 5.214398872031473e-28
5 66.74 88  93.19 7.816248784017663e-28
5 66.74 89  93.19 8.510062787312548e-28
5 66.74 90  94.92 1.969890652597237e-28
5 66.74 91  94.92 3.3216296280452415e-28
5 66.74 92  94.92 7.136160387964484e-29
5 66.74 93  109.05 1.9538229184123294e-30
5 66.74 94  109.05 8.305687716507534e-32
5 66.74 95  109.05 2.4313160902607784e-31
5 66.74 96  109.05 3.056191907313081e-32
5 66.74 97  109.05 4.71608352151447e-32
5 66.74 98  109.05 2.1498802823983541e-29
5 66.74 99  109.05 5.302144886149355e-31
5 66.74 100  109.05 3.175970536173408e-32
6 66.74 6  0.0 3.063874001766518e-29
6 66.74 7  0.0 6.926038333101722e-29
6 66.74 8  1.09 7.699127599453381e-5
6 66.74 9  1.09 0.00015829169532835053
6 66.74 10  1.09 0.0001273458124634486
6 66.74 11  1.09 3.969340643696497e-5
6 66.74 12  1.09 0.00016347661039359506
6 66.74 13  22.62 0.03936580839796068
6 66.74 14  22.62 0.043624890088204166
6 66.74 15  22.62 0.09619915023315652
6 66.74 16  22.62 0.08755969452075957
6 66.74 17  22.62 0.09005184966105738
6 66.74 18  24.44 0.09153454466256834
6 66.74 19  25.41 6.908847804312232e-27
6 66.74 20  25.41 3.6501737516819286e-27
6 66.74 21  25.41 7.921878430754475e-27
6 66.74 22  25.41 5.110624453841869e-26
6 66.74 23  25.41 1.4508144287660743e-26
6 66.74 24  33.23 0.08654832445731513
6 66.74 25  33.23 0.10891396126793532
6 66.74 26  33.23 0.08744079224345719
6 66.74 27  52.83 7.156391758329022e-27
6 66.74 28  52.83 3.904403501265785e-27
6 66.74 29  52.83 4.694969678328208e-27
6 66.74 30  52.83 4.07432410821026e-27
6 66.74 31  52.83 5.199581162429864e-27
6 66.74 32  52.83 3.513635443302597e-27
6 66.74 33  52.83 1.2243724112349408e-27
6 66.74 34  60.97 0.0006175987305688691
6 66.74 35  60.97 0.0019939862325518407
6 66.74 36  60.97 0.0006468495578237074
6 66.74 37  60.97 0.0005970640631934295
6 66.74 38  60.97 0.001235070853309251
6 66.74 39  63.07 3.534665123964853e-29
6 66.74 40  63.07 4.2452825797308343e-29
6 66.74 41  63.07 3.8765772149358375e-30
6 66.74 42  66.28 0.014766809379500602
6 66.74 43  68.01 4.692000413089922e-28
6 66.74 44  68.01 1.7575512961288932e-27
6 66.74 45  68.01 1.0011449922265042e-27
6 66.74 46  68.01 1.1444325579740818e-27
6 66.74 47  68.01 7.754081567993475e-28
6 66.74 48  73.78 0.05114591007009661
6 66.74 49  73.78 0.03582491729808712
6 66.74 50  73.78 0.026558610050417895
6 66.74 51  73.78 0.013728790074455969
6 66.74 52  73.78 0.06342921170515199
6 66.74 53  79.06 8.242830814625263e-28
6 66.74 54  79.06 5.141051572572769e-28
6 66.74 55  79.06 1.0197197836441633e-27
6 66.74 56  79.06 1.5242234412443788e-27
6 66.74 57  79.06 1.0540438091304359e-27
6 66.74 58  79.06 2.6658879586863054e-28
6 66.74 59  79.06 1.3574044284508323e-27
6 66.74 60  81.87 1.8552838656527854e-30
6 66.74 61  81.87 2.390400965845798e-29
6 66.74 62  81.87 2.863994014159845e-29
6 66.74 63  81.87 3.266101389806265e-29
6 66.74 64  81.87 1.6202906942359766e-29
6 66.74 65  81.87 1.4681135208299638e-30
6 66.74 66  81.87 7.342427205066855e-29
6 66.74 67  85.99 3.1069117520676713e-29
6 66.74 68  85.99 3.0869199928448226e-29
6 66.74 69  85.99 1.6192710639789046e-28
6 66.74 70  89.53 1.8053008124036606e-27
6 66.74 71  89.53 4.980465501379326e-27
6 66.74 72  89.53 6.758757228426171e-27
6 66.74 73  89.53 7.9897641930173e-27
6 66.74 74  89.53 3.3023683577140835e-27
6 66.74 75  89.53 3.712072565122914e-27
6 66.74 76  89.53 2.523150488316858e-27
6 66.74 77  89.73 8.306746691315446e-6
6 66.74 78  89.73 1.584323023698488e-5
6 66.74 79  89.73 1.317500735849728e-5
6 66.74 80  90.85 0.0069697363350794345
6 66.74 81  90.85 0.007078468645534985
6 66.74 82  90.85 0.00920471521629504
6 66.74 83  90.85 0.01475036218247855
6 66.74 84  90.85 0.00409380067468571
6 66.74 85  93.19 1.095714186257381e-28
6 66.74 86  93.19 1.8958263385625368e-28
6 66.74 87  93.19 7.991258234349813e-29
6 66.74 88  93.19 2.1881580997995506e-27
6 66.74 89  93.19 6.603137823893645e-29
6 66.74 90  94.92 3.4107179170206734e-28
6 66.74 91  94.92 8.210558728214807e-29
6 66.74 92  94.92 4.3040885055329756e-29
6 66.74 93  109.05 2.8526022238793218e-30
6 66.74 94  109.05 8.776491379057308e-32
6 66.74 95  109.05 4.154270333130266e-31
6 66.74 96  109.05 9.751473959377673e-32
6 66.74 97  109.05 5.015126089548281e-32
6 66.74 98  109.05 5.937031009033561e-30
