10 3.77 48  40.8 0.0030896596882835983
10 3.77 49  40.8 0.001043383999746655
10 3.77 50  40.8 0.0034188923512113796
10 3.77 51  40.8 0.003287845476729705
10 3.77 52  40.8 0.0027511004731381626
10 3.77 53  40.8 0.0005879805846893318
10 3.77 54  40.8 0.0016880517031970096
10 3.77 55  40.8 0.0024159370168259997
10 3.77 56  40.8 0.0029109097473303753
10 3.77 57  40.8 0.0031143426242489724
10 3.77 58  47.42 0.003567498272996055
10 3.77 59  47.42 0.00204154408784024
10 3.77 60  47.42 0.0046778650740853045
10 3.77 61  47.42 0.003303104921392734
10 3.77 62  47.42 0.004606961405550211
11 3.77 11  0.0 0.023151334959385653
11 3.77 12  0.0 0.011546714831788285
11 3.77 13  0.0 0.025665273890290427
11 3.77 14  0.0 0.028167988592647235
11 3.77 15  3.48 0.018029862894529534
11 3.77 16  3.48 0.01257022323392762
11 3.77 17  3.48 0.04966327042337079
11 3.77 18  3.48 0.004223343707427019
11 3.77 19  3.48 0.05103475288617161
11 3.77 20  40.8 0.0006491680950093751
11 3.77 21  40.8 0.0007557871213722743
11 3.77 22  40.8 0.0038360021259379066
11 3.77 23  40.8 0.0022869789728868447
11 3.77 24  40.8 0.0009150650764924582
11 3.77 25  40.8 0.0006415596490853936
11 3.77 26  40.8 0.00042156074819190174
11 3.77 27  40.8 0.0015309566142171847
11 3.77 28  40.8 0.0016425494683852222
11 3.77 29  40.8 0.0017587135315108937
11 3.77 30  40.8 0.001505390094155997
11 3.77 31  40.8 0.0016612367277731108
11 3.77 32  40.8 0.0018174829896325823
11 3.77 33  40.8 0.0017534250888728918
11 3.77 34  40.8 0.0014135801370889548
11 3.77 35  40.8 0.0011099078958721792
11 3.77 36  40.8 0.0010446265226691663
11 3.77 37  40.8 0.0010844226006316584
11 3.77 38  40.8 0.0011742546344430077
11 3.77 39  40.8 0.001128868044200512
11 3.77 40  40.8 0.0011544799776100397
11 3.77 41  40.8 0.001205371019160548
11 3.77 42  40.8 0.0016373796304299847
11 3.77 43  40.8 0.0012387816064275995
11 3.77 44  40.8 0.0005936627946871139
11 3.77 45  40.8 0.0005764537891022607
